nameseq,A_AA,A_AC,A_AG,A_AT,A_CA,A_CC,A_CG,A_CT,A_GA,A_GC,A_GG,A_GT,A_TA,A_TC,A_TG,A_TT,C_AA,C_AC,C_AG,C_AT,C_CA,C_CC,C_CG,C_CT,C_GA,C_GC,C_GG,C_GT,C_TA,C_TC,C_TG,C_TT,G_AA,G_AC,G_AG,G_AT,G_CA,G_CC,G_CG,G_CT,G_GA,G_GC,G_GG,G_GT,G_TA,G_TC,G_TG,G_TT,T_AA,T_AC,T_AG,T_AT,T_CA,T_CC,T_CG,T_CT,T_GA,T_GC,T_GG,T_GT,T_TA,T_TC,T_TG,T_TT,label
URS00021C6515/Sphingomonas,0,0,0,1,1,2,3,1,0,3,2,0,0,1,1,1,1,2,1,2,4,7,3,1,3,5,7,2,1,2,1,2,1,4,3,1,1,7,6,1,2,1,3,2,1,1,3,0,0,0,1,0,0,3,3,0,2,5,0,0,0,0,0,0,pre_miRNA
URS00021CDBAD/Sphingopyxis,1,1,0,0,0,0,0,1,2,2,3,0,0,2,0,0,1,2,0,0,0,7,5,2,0,9,3,1,2,2,1,1,1,0,2,0,0,4,7,4,1,3,8,1,1,0,3,1,0,1,1,1,0,1,4,1,1,2,0,1,0,0,0,2,pre_miRNA
URS00021D0566/Allostreptomyces,0,1,0,0,1,0,3,0,1,1,3,0,0,2,0,0,0,3,2,0,0,1,3,1,4,2,5,3,0,1,1,0,0,1,1,1,1,8,5,2,4,1,3,1,0,1,3,1,0,3,0,0,0,0,1,0,1,0,2,1,0,1,0,0,pre_miRNA
URS00021D1193/Longimicrobium,2,0,1,0,0,5,2,1,1,1,1,0,0,0,0,0,1,0,2,1,2,1,4,1,2,5,4,2,0,1,2,2,2,3,1,0,2,3,3,1,2,3,4,0,0,2,1,0,0,0,1,0,0,1,1,2,0,2,1,0,0,2,0,3,pre_miRNA
URS00021D67C7/Microbacterium,1,2,0,0,0,3,2,0,2,2,1,0,0,1,0,0,1,1,4,0,3,5,3,2,3,4,3,1,0,1,1,0,0,2,2,1,1,4,4,1,2,3,2,2,0,1,2,3,0,0,0,0,0,1,1,1,1,0,5,0,0,1,1,1,pre_miRNA
URS00021DCD2B/Frigoribacterium,0,0,1,0,0,2,1,0,1,2,1,1,0,0,0,0,0,2,3,0,1,6,7,1,3,4,2,1,0,5,0,0,0,2,1,0,0,1,8,3,1,4,5,1,0,3,0,0,0,0,0,0,0,1,1,1,3,0,1,1,0,1,0,0,pre_miRNA
URS00021DD87A/Arthrobacter,0,0,1,0,1,1,1,0,0,2,0,0,0,1,1,1,0,2,0,1,1,2,4,1,0,6,7,0,1,0,0,2,1,1,2,2,0,2,6,0,4,1,3,4,0,3,2,1,0,0,0,0,1,2,4,1,1,3,1,0,0,1,0,0,pre_miRNA
URS00021E8BB2/Spinactinospora,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,2,6,5,1,1,4,3,2,0,3,2,0,0,1,1,0,0,6,4,1,3,2,5,1,0,2,0,0,0,2,1,0,0,0,2,1,0,1,1,0,0,0,0,0,pre_miRNA
URS00021EA957/Geodermatophilus,0,1,1,0,1,3,1,0,1,1,2,1,0,0,0,0,0,1,1,0,0,5,3,1,3,2,10,1,0,1,1,0,3,2,2,1,0,4,6,2,4,4,2,0,1,3,1,0,0,0,1,0,0,1,2,0,0,1,1,0,0,0,0,1,pre_miRNA
URS00021EBBE3/Streptomyces,0,0,0,0,0,1,1,0,2,2,0,4,0,0,0,0,0,0,0,1,2,2,3,1,1,1,4,1,3,3,1,0,0,5,1,0,0,5,1,1,1,2,3,1,1,1,1,0,0,1,3,0,0,1,5,1,0,0,0,0,0,0,0,0,pre_miRNA
URS0002272977/Streptomyces,0,0,0,0,0,2,0,0,1,2,1,3,0,1,0,0,0,0,1,0,0,4,3,1,2,2,5,2,2,1,2,2,0,3,2,0,2,3,4,1,1,3,4,3,1,1,1,1,0,1,2,0,0,3,5,0,0,0,1,0,0,2,0,0,pre_miRNA
URS0000AD9947/Acetitomaculum,1,0,0,0,1,0,2,0,8,2,1,1,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,4,1,2,0,0,9,7,1,0,1,1,15,1,0,0,2,0,0,0,9,0,0,1,1,pre_miRNA
URS0000ADE622/Ruminococcus,0,0,0,0,1,0,3,0,7,1,2,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,10,0,0,0,0,0,1,0,1,0,4,1,2,0,0,9,10,0,0,0,0,17,1,0,1,3,0,0,0,9,0,0,0,2,pre_miRNA
URS0000AE3423/Pseudobutyrivibrio,0,0,0,0,2,0,1,0,4,2,4,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,2,11,0,0,0,0,0,3,0,1,0,4,1,0,0,0,11,5,0,0,0,0,14,0,0,1,5,0,0,0,9,0,0,0,1,pre_miRNA
URS0000AEAAAF/Paenibacillus,0,0,0,0,2,0,4,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,7,0,1,0,3,0,4,0,0,14,1,0,0,0,0,14,0,0,1,1,0,1,0,14,0,0,1,1,pre_miRNA
URS0000AF2612/Pseudobutyrivibrio,0,0,0,0,2,0,0,0,4,1,4,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,10,0,0,0,0,0,1,0,2,0,3,2,2,0,0,10,9,0,0,0,0,14,2,1,0,4,0,0,0,10,0,0,0,3,pre_miRNA
URS0000B0EDE3/Azotobacter,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,12,1,0,0,2,0,0,0,0,13,1,0,0,1,0,13,0,0,0,0,0,0,0,13,0,0,0,0,pre_miRNA
URS0000B20B4E/Paracoccus,0,0,0,0,4,0,3,0,3,1,4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,14,0,1,0,0,1,2,2,4,0,5,1,3,1,0,11,0,0,0,2,0,11,0,0,1,0,0,0,1,12,0,0,0,0,pre_miRNA
URS0000BE12C5/Actinobacteria,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,2,1,1,5,2,1,0,2,0,0,1,0,1,1,0,4,4,1,1,0,4,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,pre_miRNA
URS0000BE1525/Streptomyces,3,0,1,0,0,1,0,1,1,3,2,0,0,0,0,0,0,0,0,1,1,3,2,1,2,1,4,1,2,1,1,2,0,0,2,2,0,5,2,1,0,5,2,1,0,2,0,0,1,0,0,2,0,0,3,1,0,0,1,0,2,0,3,2,pre_miRNA
URS0000BE1B66/Sphingomonas,0,0,0,1,0,0,2,1,1,1,0,3,0,0,0,0,1,3,0,0,1,9,5,0,2,5,6,2,1,4,2,1,1,2,1,0,1,8,9,2,1,3,5,0,0,0,0,0,1,0,1,0,0,2,1,0,1,3,0,0,0,1,1,1,pre_miRNA
URS0000BE2761/Actinoplanes,0,0,1,0,1,2,1,1,0,0,2,0,0,0,1,0,0,1,0,1,0,3,4,2,2,8,4,3,1,1,2,0,1,2,1,0,1,8,4,1,0,2,2,1,1,1,0,2,0,0,0,0,0,4,2,0,0,0,3,0,0,1,0,2,pre_miRNA
URS0000BE28D6/Streptomyces,0,0,1,0,0,1,1,0,1,2,0,0,0,0,1,0,1,0,0,0,2,1,4,1,0,3,4,2,2,4,3,0,0,1,2,1,0,6,2,2,1,4,5,4,0,1,0,1,0,0,1,0,0,2,4,1,1,1,1,1,0,0,1,1,pre_miRNA
URS0000BE2F54/Sphingomonas,0,0,1,0,0,2,1,1,1,1,0,2,0,1,0,0,0,1,2,0,2,4,4,1,1,5,4,1,0,5,0,0,1,0,1,0,0,6,6,2,2,2,4,0,0,0,1,0,0,2,0,0,0,0,1,1,0,2,0,0,1,0,0,0,pre_miRNA
URS0000BE361E/Sphingomonas,2,1,2,0,0,2,2,1,2,2,0,3,0,0,1,1,2,1,3,0,0,6,3,1,2,7,7,1,1,5,0,0,1,2,2,0,2,7,10,2,2,3,6,0,1,0,2,0,0,0,0,1,0,1,2,0,1,2,0,2,0,0,1,1,pre_miRNA
URS0000BE3835/Curtobacterium,0,1,0,0,2,1,4,0,0,1,2,0,0,0,0,0,0,1,0,1,1,4,2,1,4,2,6,5,0,4,0,1,0,1,1,1,1,5,4,2,2,3,4,1,0,3,6,0,0,2,0,2,0,1,4,0,0,2,2,0,0,0,0,0,pre_miRNA
URS0000BE5020/Sphingomonas,0,0,0,1,0,2,1,0,1,3,0,0,0,0,3,0,1,1,0,2,1,5,3,1,2,5,9,0,1,3,0,1,0,0,2,2,2,5,9,1,3,3,5,1,0,0,2,2,0,1,0,0,0,2,3,0,0,4,0,1,0,0,0,0,pre_miRNA
URS0000BE5F59/Sphingomonas,0,1,4,1,0,1,0,1,4,3,0,1,0,0,1,0,0,1,2,2,1,6,3,0,2,6,8,1,0,2,1,0,1,2,1,1,3,6,8,3,2,3,8,1,1,1,3,1,0,0,0,1,1,0,2,0,1,3,0,2,0,0,4,0,pre_miRNA
URS0000BE62E7/Sphingomonas,0,1,1,1,0,1,1,1,1,1,1,2,0,0,0,0,0,1,0,1,0,5,4,2,1,5,9,2,0,5,0,0,0,0,2,1,3,6,8,2,3,3,6,1,0,1,4,2,0,0,2,2,0,0,2,0,1,5,0,1,2,1,2,2,pre_miRNA
URS0000BE6429/Sphingomonas,0,0,1,0,2,1,2,0,0,3,1,1,1,2,0,0,0,1,2,2,1,7,2,1,3,9,6,0,2,3,0,1,1,0,2,2,1,6,7,3,1,2,6,2,0,1,1,1,1,1,2,0,1,1,2,2,0,2,1,0,0,0,3,0,pre_miRNA
URS0000BE6735/Sphingomonas,2,1,0,1,1,3,1,0,0,5,0,1,2,0,0,0,0,5,0,0,2,10,6,0,2,6,6,1,0,4,0,2,3,0,2,0,3,6,7,1,1,2,5,0,0,0,1,1,0,0,2,1,0,0,3,1,0,1,0,2,1,1,0,1,pre_miRNA
URS0000BE781E/Sphingomonas,1,0,0,0,0,4,3,0,3,4,0,0,0,0,0,0,3,0,2,1,4,4,2,1,1,3,4,2,0,4,3,2,0,2,4,1,0,4,3,1,2,2,0,2,1,2,0,0,0,1,1,0,0,3,3,3,0,2,0,0,0,0,0,0,pre_miRNA
URS0000BE79F2/Sphingomonas,1,0,0,0,0,1,2,0,0,3,2,0,0,0,0,1,1,1,2,2,2,8,2,0,1,8,6,1,1,3,1,3,0,0,1,1,1,8,9,5,1,2,4,0,0,1,2,0,0,1,0,0,1,2,1,0,0,2,1,2,1,1,0,0,pre_miRNA
URS0000BE7B71/Sphingomonas,0,0,1,2,0,1,3,0,0,2,0,2,1,0,0,0,2,1,0,0,2,6,3,1,1,6,8,0,0,2,0,3,0,2,2,1,2,6,7,1,1,4,4,1,1,1,1,2,0,0,0,0,0,0,3,0,0,3,2,1,1,1,1,1,pre_miRNA
URS0000BE82D5/Bradyrhizobium,0,1,1,0,0,5,2,0,1,1,1,0,1,1,1,0,0,1,0,2,1,1,3,2,4,2,6,2,1,3,0,0,1,0,3,3,1,2,3,1,1,5,3,1,2,2,1,2,0,1,1,1,2,1,5,0,1,2,0,0,0,0,0,0,pre_miRNA
URS0000BE9662/Sphingopyxis,0,0,0,2,0,1,0,1,0,2,3,1,0,0,0,0,1,1,2,0,0,5,4,2,1,5,2,1,0,4,0,1,1,0,1,0,0,4,5,3,2,3,9,0,2,0,3,0,0,0,0,0,1,0,3,0,1,3,0,1,0,0,2,0,pre_miRNA
URS0000BE9AD0/Sphingomonas,0,0,0,1,0,0,2,0,0,1,4,1,0,1,0,0,1,2,1,0,1,6,3,1,1,5,7,2,1,5,1,2,1,0,1,2,3,7,9,1,1,3,5,0,1,0,2,0,1,0,0,1,0,3,1,0,1,4,0,1,0,0,0,0,pre_miRNA
URS0000BEAFF2/Deinococcus,3,1,2,0,1,0,3,0,1,1,2,0,0,3,1,1,0,1,1,1,0,3,1,0,2,1,1,4,0,1,1,3,2,1,3,1,1,2,1,2,4,1,0,1,2,1,1,0,1,2,2,0,1,0,2,3,3,0,2,0,0,2,0,0,pre_miRNA
URS0000BEB739/Anaerosporomusa,2,2,0,2,0,3,0,1,1,2,0,0,1,1,0,1,0,1,3,0,1,3,1,0,1,1,4,1,1,1,0,0,1,0,1,0,0,2,2,2,1,1,3,2,2,0,1,4,1,1,1,1,1,0,0,2,0,0,2,2,3,0,3,6,pre_miRNA
URS0000BEB76A/Sphingomonas,0,0,1,0,0,1,2,0,0,2,1,1,0,1,0,1,1,3,1,0,2,10,4,1,2,7,5,1,0,5,2,0,0,0,1,0,2,6,6,5,1,2,5,0,0,1,1,0,0,2,0,1,1,1,1,2,0,1,1,1,1,2,0,0,pre_miRNA
URS0000BEBBB1/Sphingomonas,0,0,1,1,0,1,3,0,2,1,1,0,0,0,0,0,0,1,1,0,2,6,3,1,1,9,7,0,3,2,1,0,0,1,3,1,0,6,8,3,1,3,6,1,1,1,0,1,0,0,1,1,0,1,2,1,1,2,0,1,0,3,0,1,pre_miRNA
URS0000BEC6A5/Sphingomonas,0,0,0,1,0,1,2,0,2,1,2,0,1,0,1,0,1,1,0,1,2,5,1,2,1,8,8,1,0,3,0,1,1,2,3,0,0,5,7,3,1,2,6,1,1,2,2,1,0,1,0,1,1,1,4,1,1,2,0,0,0,1,0,0,pre_miRNA
URS0000BECEE6/Sphingomonas,1,0,1,0,0,1,1,1,1,1,2,0,0,1,1,0,1,1,0,2,1,5,3,2,1,6,7,0,2,3,1,1,0,0,3,2,0,6,9,1,3,4,5,3,1,0,1,1,0,0,1,1,0,1,2,1,1,2,2,1,1,3,1,0,pre_miRNA
URS0000BED9F9/Deinococcus,0,2,1,0,0,0,1,0,1,2,2,2,0,0,0,0,0,0,0,0,2,3,2,3,0,4,4,1,1,3,1,1,1,3,2,1,2,3,1,1,1,1,3,0,0,1,0,2,0,0,0,0,0,5,2,2,0,0,0,0,2,0,1,0,pre_miRNA
URS0000BEDF5C/Sphingomonas,2,0,2,0,0,1,2,0,1,2,1,2,0,0,0,1,0,1,3,1,0,6,3,0,2,7,6,0,1,2,1,1,0,0,2,1,1,6,8,3,3,3,7,1,0,1,1,1,1,0,0,0,0,1,2,1,0,3,0,1,1,1,2,1,pre_miRNA
URS0000BEE2C5/Methylobacterium,0,0,0,0,1,1,6,1,2,2,1,0,0,0,0,0,0,2,3,1,1,4,4,2,2,3,7,5,0,7,2,0,0,2,0,0,4,7,3,1,3,3,2,2,1,3,4,1,0,4,1,2,0,2,3,1,1,1,2,1,0,0,0,1,pre_miRNA
URS0000BEE9FA/Sphingomonas,0,1,1,0,0,2,0,0,2,2,2,1,0,0,0,0,2,1,0,1,2,5,5,1,1,4,7,1,0,4,1,1,0,2,2,1,1,5,7,1,2,4,3,3,0,1,3,0,0,1,0,0,1,0,3,1,1,2,1,0,0,0,1,0,pre_miRNA
URS0000BEF037/Sphingomonas,0,0,0,1,0,0,1,1,2,1,1,0,2,0,1,0,2,2,0,1,1,8,6,2,0,5,7,0,0,5,0,0,0,0,1,1,1,6,8,1,2,5,3,0,0,1,0,1,0,1,1,0,0,0,1,1,0,3,1,1,0,0,1,1,pre_miRNA
URS0000BF096B/Sphingomonas,0,0,0,2,0,0,3,0,0,3,1,1,0,1,0,0,3,2,1,0,1,7,4,1,2,6,7,0,0,3,1,0,1,0,3,0,2,7,10,1,2,3,7,1,0,1,1,0,1,0,0,0,0,0,1,0,1,4,0,1,0,0,0,0,pre_miRNA
URS0000BF0A88/Sphingomonas,1,1,0,0,1,3,1,0,1,2,1,0,0,0,1,0,1,0,2,0,3,2,4,3,0,3,5,2,0,1,4,3,0,2,4,0,0,5,2,2,4,3,1,1,1,4,0,0,0,1,1,0,1,2,2,2,0,3,1,1,0,1,0,1,pre_miRNA
URS0000BF12CF/Microbacterium,0,1,1,1,0,1,1,2,1,2,1,0,0,0,0,0,1,1,1,0,0,1,7,2,3,3,4,0,0,2,1,0,1,0,0,2,0,5,1,3,4,2,3,2,0,4,2,1,0,0,1,0,0,1,3,0,0,2,1,1,0,2,1,1,pre_miRNA
URS0000BF40F4/Streptomyces,0,2,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,2,5,1,2,2,5,2,1,2,0,1,0,1,0,1,0,6,3,1,1,2,4,2,0,2,1,0,0,0,0,0,1,2,0,0,1,0,1,1,0,1,1,0,pre_miRNA
URS0000BF48FD/Streptomyces,0,1,0,0,0,1,2,0,3,0,4,0,0,0,0,0,1,1,0,0,0,4,3,1,2,2,2,3,0,5,0,2,1,0,3,1,1,4,4,2,1,5,4,1,0,0,3,0,0,1,0,1,1,0,3,1,0,1,0,1,0,3,0,0,pre_miRNA
URS0000BF526C/Sphingomonas,0,0,1,0,0,1,2,0,0,3,1,1,0,0,0,0,1,3,0,1,1,6,5,2,0,4,6,1,1,3,0,2,0,0,3,0,1,5,7,1,3,5,2,1,1,1,1,1,0,1,0,0,0,1,3,1,1,3,0,1,1,0,1,1,pre_miRNA
URS0000BF6027/Kocuria,1,0,1,0,1,1,2,0,2,2,1,1,0,0,0,0,0,1,2,1,2,3,2,0,3,4,4,3,0,1,0,1,0,3,3,0,1,3,4,2,2,3,5,0,0,4,1,1,0,0,0,0,0,1,4,1,0,0,1,1,0,1,2,0,pre_miRNA
URS0000BF6D1B/Tetrasphaera,1,2,1,0,1,0,2,1,1,2,0,1,0,3,1,0,0,2,1,1,3,8,6,2,2,4,2,2,0,2,2,0,0,3,1,1,2,3,3,1,3,0,1,1,0,2,1,0,0,2,1,0,0,0,2,2,3,1,0,0,0,1,0,1,pre_miRNA
URS0000BF7A47/Mobilicoccus,1,1,0,0,0,2,3,1,2,0,0,0,0,0,0,0,1,3,2,0,1,4,4,0,2,5,4,2,0,3,0,0,1,1,1,1,2,4,7,1,2,1,6,2,0,3,2,0,0,0,0,0,0,0,1,1,0,2,4,1,0,1,0,1,pre_miRNA
URS0000BF7F0C/Novosphingobium,0,0,0,0,0,2,4,0,1,1,1,0,0,0,0,1,1,1,3,2,2,4,2,2,0,5,2,2,0,6,0,1,0,1,1,0,2,3,4,2,4,1,2,1,0,1,3,1,0,1,0,0,0,3,2,1,0,3,2,1,0,0,1,1,pre_miRNA
URS0000BF837D/Oerskovia,1,0,0,0,3,1,1,0,2,3,2,0,0,0,0,0,0,5,2,0,1,5,8,0,1,4,2,1,0,2,1,1,0,1,2,1,1,5,2,3,2,2,3,0,1,2,1,0,0,0,0,0,0,1,0,1,0,0,3,2,0,1,0,0,pre_miRNA
URS0000BFADF4/Sphingomonas,0,0,0,1,0,1,1,1,0,2,1,0,1,0,0,1,2,3,0,0,2,6,5,2,0,5,8,1,0,2,1,0,1,0,1,0,2,7,7,2,1,5,2,1,0,0,1,2,0,1,0,0,0,0,2,0,0,2,3,1,0,3,1,0,pre_miRNA
URS0000BFB0F6/Arsenicicoccus,1,2,1,0,0,3,4,1,1,1,1,0,0,0,0,0,1,2,0,1,2,7,1,1,1,1,5,1,0,2,1,1,0,1,0,1,2,2,2,1,2,0,3,2,1,1,2,3,2,1,3,0,0,0,0,0,2,1,0,2,0,2,1,0,pre_miRNA
URS0000BFC365/Streptomyces,1,0,0,0,0,2,0,0,1,2,2,0,1,0,0,0,0,0,0,0,1,3,3,2,1,2,8,2,1,3,0,1,1,3,2,1,0,5,4,1,2,3,3,3,0,2,2,0,0,0,1,0,0,2,4,1,0,1,1,0,1,0,0,1,pre_miRNA
URS0000BFC90D/Litoreibacter,0,0,1,0,1,2,2,1,2,2,2,0,0,1,2,0,1,2,3,1,1,4,2,4,1,3,3,1,2,2,3,0,0,3,3,0,3,2,3,2,3,4,4,1,2,0,0,1,0,1,0,1,1,0,3,1,0,5,0,0,0,0,0,0,pre_miRNA
URS0000BFC939/Sphingomonas,0,1,1,0,0,1,1,0,2,2,0,3,0,0,1,1,0,2,1,0,3,7,2,0,1,4,8,0,0,4,2,1,0,0,1,3,2,7,9,1,2,2,6,0,1,1,0,0,0,0,1,2,0,1,1,0,0,2,0,3,1,1,2,0,pre_miRNA
URS0000BFDA12/Sphingopyxis,0,0,2,0,0,0,2,0,0,1,3,2,0,0,1,0,1,1,1,0,1,6,4,1,1,5,4,1,0,2,0,2,0,0,3,0,0,5,7,1,3,3,7,1,2,0,1,2,0,2,0,0,1,1,0,0,1,3,1,0,0,0,1,0,pre_miRNA
URS0000C0074F/Sphingopyxis,0,0,1,0,1,0,0,0,1,1,2,1,0,1,0,0,1,1,0,1,0,6,4,0,0,2,3,3,0,3,0,2,0,0,1,0,0,4,7,2,2,2,6,1,1,1,1,0,3,1,0,0,1,0,1,1,0,3,1,0,0,2,1,1,pre_miRNA
URS0000C017E4/Streptomyces,0,0,0,0,0,2,1,0,1,1,2,0,0,0,1,0,0,0,0,0,2,5,3,1,2,9,7,1,0,3,0,1,1,1,4,0,1,4,6,3,1,5,5,0,0,1,2,0,0,0,2,0,0,3,2,1,0,0,0,0,0,0,0,0,pre_miRNA
URS0000C02D48/Sphingopyxis,0,0,1,1,0,1,1,0,1,2,2,1,0,1,1,0,1,2,1,1,0,6,5,1,0,6,5,2,0,2,1,1,1,0,3,0,1,7,6,2,4,3,8,1,1,0,2,1,1,0,0,0,0,0,4,0,1,3,0,1,0,2,0,0,pre_miRNA
URS0000C031A2/Rathayibacter,0,1,3,0,2,1,2,0,1,1,1,0,1,1,0,0,1,1,1,1,1,4,2,0,1,4,2,1,0,1,1,3,1,0,5,0,0,3,3,3,2,3,4,1,1,2,2,0,0,0,1,0,0,0,0,3,3,2,2,1,0,0,1,0,pre_miRNA
URS0000C05095/Devosia,0,1,2,2,1,1,2,3,4,3,4,1,0,0,0,0,2,0,2,4,3,2,0,1,0,0,0,0,0,3,6,3,2,1,1,1,2,3,2,3,2,3,1,0,1,4,1,1,2,0,3,1,1,2,0,1,2,3,2,1,1,2,0,2,pre_miRNA
URS0000C08AB5/Devosia,0,1,1,1,0,2,0,4,1,1,2,0,0,1,1,0,3,0,0,3,3,5,4,0,1,2,8,0,0,3,0,1,1,1,2,0,2,5,3,1,2,1,4,2,0,1,3,1,0,2,1,0,0,1,1,0,3,1,0,2,0,3,1,0,pre_miRNA
URS0000C097DC/Devosia,1,1,1,1,0,2,1,2,0,1,2,0,0,1,0,1,1,1,1,2,2,5,4,1,0,2,7,2,0,2,1,1,0,0,1,1,2,5,4,1,4,1,2,2,1,3,1,1,0,2,2,0,0,1,1,0,3,1,2,0,1,2,0,1,pre_miRNA
URS0000C0B148/Mycobacterium,0,0,0,0,0,2,2,1,0,0,3,1,0,0,0,0,1,1,2,0,0,6,0,1,2,9,4,2,0,0,2,2,1,2,0,1,4,3,9,0,0,2,5,0,0,2,2,1,1,0,0,0,1,2,1,0,0,3,1,0,0,0,0,0,pre_miRNA
URS0000C0EC20/Janthinobacterium,1,1,1,1,0,3,2,1,0,0,2,2,1,1,2,1,0,2,0,2,3,3,3,1,2,4,6,3,0,0,2,1,2,2,5,0,1,5,1,1,1,3,5,2,2,2,3,0,0,1,1,0,3,1,1,2,1,2,1,1,2,1,1,0,pre_miRNA
URS0000C0F09D/Pseudomonas,0,1,0,2,1,1,4,2,2,3,2,0,0,1,0,1,3,2,1,0,1,1,5,2,2,3,2,0,1,0,2,1,1,1,3,2,2,1,0,0,1,6,3,2,2,3,2,2,1,0,1,2,2,1,2,1,0,2,2,0,1,0,1,0,pre_miRNA
URS0000C10B45/Bifidobacterium,3,1,1,1,0,0,0,0,0,2,0,0,0,1,2,5,1,1,1,3,4,0,1,1,1,1,2,0,1,1,0,0,1,1,1,0,1,5,0,2,1,2,2,1,0,0,0,0,0,0,0,0,1,3,1,0,0,1,1,2,1,1,3,0,pre_miRNA
URS0000C1AA4D/Pseudomonas,2,2,2,1,0,2,2,5,1,3,0,0,0,0,0,0,2,1,4,0,0,2,5,2,2,1,0,3,1,0,2,1,1,0,2,0,2,0,0,1,4,3,2,0,1,4,2,3,1,0,0,0,1,0,2,2,0,5,1,1,1,2,2,2,pre_miRNA
URS0000C22E75/Bifidobacterium,2,1,1,2,0,1,2,0,2,2,1,0,0,2,0,2,3,1,0,2,1,0,2,0,0,2,0,0,1,0,2,2,1,1,2,0,0,3,0,3,0,2,0,1,0,0,1,2,1,0,0,0,4,0,0,0,0,0,3,2,1,1,1,2,pre_miRNA
URS0000C281DA/Nitrospirae,1,2,2,1,1,0,1,0,0,1,0,1,3,0,3,2,1,1,0,2,2,0,0,0,1,0,2,3,1,0,1,0,2,1,0,3,1,2,0,0,0,0,0,1,1,0,1,1,0,0,0,2,0,2,2,2,2,1,1,0,1,3,1,1,pre_miRNA
URS0000C28DE7/Bifidobacterium,0,4,2,0,2,1,3,0,0,1,1,0,0,0,0,1,1,5,0,0,1,4,1,1,4,6,4,4,0,0,3,0,0,1,2,0,5,3,6,3,2,3,3,4,0,2,4,0,0,0,1,0,0,3,1,0,1,0,3,2,0,2,3,0,pre_miRNA
URS0000C35532/Hymenobacter,4,1,2,1,1,2,2,3,3,2,2,2,0,2,0,0,2,0,4,0,0,0,7,0,4,2,3,0,0,4,1,4,3,4,1,1,1,4,5,0,2,3,2,1,0,2,1,2,2,0,0,1,0,4,1,3,1,2,2,1,2,1,0,3,pre_miRNA
URS0000C481A2/Pontibacillus,3,0,2,1,1,0,1,4,2,0,2,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,2,0,1,1,2,1,3,1,0,0,0,0,4,0,1,0,1,0,1,3,1,3,0,1,1,1,1,0,0,2,0,4,3,0,2,1,pre_miRNA
URS0000C49401/Pseudomonas,3,1,2,0,0,2,1,4,1,2,0,1,0,0,0,0,0,2,4,0,1,2,5,3,0,0,1,1,1,0,4,1,1,1,2,0,1,0,0,2,5,4,1,1,0,4,2,4,1,0,0,0,1,1,0,1,1,3,4,3,1,2,2,1,pre_miRNA
URS0000C5A4BE/Clostridium,1,0,2,3,1,0,2,1,0,5,0,0,3,0,2,2,1,1,0,1,1,0,1,4,1,1,0,0,2,0,2,2,1,2,0,1,1,0,0,0,0,5,0,3,1,0,1,2,5,0,4,1,2,0,3,0,0,1,0,1,3,1,1,2,pre_miRNA
URS0000C612E3/Nitrospira,0,1,0,0,4,3,1,0,2,1,0,0,0,1,0,0,0,4,3,2,0,2,1,1,2,4,4,3,1,1,2,1,0,1,1,0,3,7,2,1,1,1,2,0,0,1,1,1,0,0,1,1,1,1,2,2,0,1,0,1,0,2,2,1,pre_miRNA
URS0000C76CF7/Nocardia,0,0,2,1,2,1,2,1,3,2,2,2,0,0,1,0,1,1,0,1,4,1,1,0,3,0,1,1,0,2,6,1,1,2,0,2,3,2,1,0,0,3,2,2,2,2,1,0,0,4,2,2,0,2,2,0,0,0,1,2,0,0,0,1,pre_miRNA
URS0000C8A37D/Hymenobacter,0,1,0,1,0,0,2,3,3,2,1,1,0,4,1,0,0,1,5,1,0,2,5,0,5,1,1,4,0,3,2,4,3,0,0,2,4,1,6,1,3,4,1,1,1,4,0,4,0,2,2,1,0,3,3,3,0,4,4,0,0,1,1,1,pre_miRNA
URS0000CB17AE/Pseudobutyrivibrio,0,0,0,0,2,0,1,0,5,3,3,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,10,0,0,0,0,0,1,0,2,0,4,1,0,0,0,10,7,0,0,0,0,15,0,0,0,6,0,0,0,8,0,0,0,0,pre_miRNA
